ID	Date_Time	Control_Word	Status_Word	Reference_1	Reference_2	Speed	Torque	Voltage	Current_i	Power	Error_code
1	2025-09-06 12:09:21	1	2	4	5	5	3	2	5	6	4
2	2025-09-06 12:10:32	1	2	4	5	5	3	2	5	6	4
3	2025-09-06 12:15:19	6311	3741	64139	6302	6302	6302	6302	6302	6302	6302
4	2025-09-06 12:19:19	53853	51283	46145	53844	53844	53844	53844	53844	53844	53844
5	2025-09-06 12:20:26	55137	52567	47429	55128	55128	55128	55128	55128	55128	55128
6	2025-09-06 12:20:27	57707	55137	49999	57698	57698	57698	57698	57698	57698	57698
7	2025-09-06 12:20:28	57707	55137	49999	57698	57698	57698	57698	57698	57698	57698
8	2025-09-06 12:20:29	60277	57707	52569	60268	60268	60268	60268	60268	60268	60268
9	2025-09-06 12:20:30	60277	57707	52569	60268	60268	60268	60268	60268	60268	60268
10	2025-09-06 12:20:31	60277	57707	52569	60268	60268	60268	60268	60268	60268	60268
11	2025-09-06 12:20:32	62847	60277	55139	62838	62838	62838	62838	62838	62838	62838
12	2025-09-06 12:20:33	62847	60277	55139	62838	62838	62838	62838	62838	62838	62838
13	2025-09-06 12:20:34	65417	62847	57709	65408	65408	65408	65408	65408	65408	65408
14	2025-09-06 12:20:35	65417	62847	57709	65408	65408	65408	65408	65408	65408	65408
15	2025-09-06 12:20:37	2451	65417	60279	2442	2442	2442	2442	2442	2442	2442
16	2025-09-06 12:20:38	2451	65417	60279	2442	2442	2442	2442	2442	2442	2442
17	2025-09-06 12:20:39	2451	65417	60279	2442	2442	2442	2442	2442	2442	2442
18	2025-09-06 12:20:40	5021	2451	62849	5012	5012	5012	5012	5012	5012	5012
19	2025-09-06 12:20:41	5021	2451	62849	5012	5012	5012	5012	5012	5012	5012
20	2025-09-06 12:20:42	7591	5021	65419	7582	7582	7582	7582	7582	7582	7582
21	2025-09-06 12:20:43	7591	5021	65419	7582	7582	7582	7582	7582	7582	7582
22	2025-09-06 12:20:44	7591	5021	65419	7582	7582	7582	7582	7582	7582	7582
23	2025-09-06 12:20:45	10161	7591	2453	10152	10152	10152	10152	10152	10152	10152
24	2025-09-06 12:20:46	10161	7591	2453	10152	10152	10152	10152	10152	10152	10152
25	2025-09-06 12:20:47	12731	10161	5023	12722	12722	12722	12722	12722	12722	12722
26	2025-09-06 12:20:48	12731	10161	5023	12722	12722	12722	12722	12722	12722	12722
